file_path,Gender,Emotion,Unique_code,audio,features,encoded_emotion,voice_to_text
./voice_data/M-A3-C-001-0101.wav,M,Angry,0101,"[-2.1118009e-04 -3.0441876e-04 -2.7259917e-04 ...  4.0343359e-05
  4.0174764e-05  4.2250071e-05]","[-259.16553      79.87538     -13.504722     32.225597     -1.2579213
  -15.940203      3.4023912     1.8325589   -22.28069      -2.1284006
   -5.7718635    -6.2144914    -2.7322857     2.0869713    -6.2084866
    0.5305953    -2.6364748    -2.307176     -7.591094      2.1165907
   -7.801952      0.7895407    -5.0620522    -4.8828163    -2.9572191
   -2.2485042    -7.3368473    -0.26528206   -5.5066533     0.6020764
   -0.6929049     0.705477      2.3050883     3.1325197     1.6431793
    3.0328372     3.124581      3.0771644     5.0555086     3.0389419 ]",0,네가 더 못 이뤄질 테니 어디 두고 봐라 
./voice_data/M-A3-C-001-0102.wav,M,Angry,0102,"[2.7067616e-04 4.1243053e-04 3.8960917e-04 ... 4.2802913e-05 4.2352251e-05
 3.3053439e-05]","[-2.3000215e+02  7.5252296e+01 -2.0765657e+01  2.6700716e+01
 -1.3296748e+00 -1.6133327e+01  6.9712073e-01  4.6216483e+00
 -2.7159693e+01 -7.3125949e+00 -3.4172788e+00 -5.9427090e+00
 -1.8162404e+00  2.9604424e-02 -6.1157713e+00  1.2502602e+00
 -6.1739292e+00 -6.9659585e-01 -9.1585684e+00  3.1195259e+00
 -7.8503189e+00 -1.0252528e+00 -4.4355083e+00 -4.8889117e+00
 -3.0492709e+00 -3.9881043e+00 -6.1845880e+00 -8.0747265e-01
 -4.8470221e+00 -2.2025214e-01 -1.6827296e+00  5.1817811e-01
  2.5083539e+00  5.8329248e-01  7.3060846e-01  7.8571463e-01
  1.2297550e-01  2.5399830e+00  3.9056997e+00  4.3501925e+00]",0,내 거라는 걸 알았으니 그걸 견딜 수가 없어 
./voice_data/M-A3-C-001-0103.wav,M,Angry,0103,"[ 4.0292136e-05  1.5881948e-05 -4.9988994e-06 ... -1.9281164e-04
 -2.1897546e-04 -1.5008423e-04]","[-2.2977158e+02  6.1946407e+01 -1.5388544e+01  2.8594303e+01
  4.8994980e+00 -1.3622237e+01  1.5824562e-02  4.9137979e+00
 -2.1305553e+01 -7.7530375e+00 -4.9674382e+00 -9.7424936e+00
 -4.4064693e+00  7.5070316e-01 -9.1992702e+00  5.7247317e-01
 -6.4013619e+00 -2.7380512e+00 -7.7372160e+00  2.5187039e-01
 -8.2016973e+00  7.8014833e-01 -7.4514236e+00 -6.0976872e+00
 -4.2245808e+00 -2.9352579e+00 -7.7672281e+00 -1.9122876e+00
 -4.5112085e+00 -6.8731997e-03 -1.9516397e+00  1.5991547e+00
  3.5315504e+00  6.0193543e+00  4.8386340e+00  7.7127876e+00
  4.5423651e+00  1.7756326e+00  3.1342621e+00  2.9223177e+00]",0,죽인 거지 
./voice_data/M-A3-C-001-0104.wav,M,Angry,0104,"[-9.7815690e-05 -6.5539760e-05 -8.9492620e-05 ... -3.8901122e-05
 -2.4020723e-05 -2.9238534e-05]","[-2.6354797e+02  8.7731071e+01 -1.8438654e+01  1.6107677e+01
 -8.9833374e+00 -1.2108830e+01  7.1197786e+00  3.3783016e+00
 -2.7161451e+01 -3.2181973e+00  6.8829738e-02 -4.4165950e+00
 -1.3037343e+00 -2.4291685e+00 -3.2864110e+00 -1.5994966e+00
 -6.0000625e+00 -4.2192345e+00 -8.4370775e+00  2.6662660e+00
 -5.9549599e+00 -9.8129690e-01 -3.4905241e+00 -4.2257462e+00
 -1.9600241e+00 -1.9382776e+00 -3.7096643e+00  1.1974717e+00
 -2.8951700e+00  7.8000259e-01 -2.0372615e+00 -1.9433031e+00
 -8.0004930e-01 -1.5411088e+00 -3.0883698e+00 -2.0047717e+00
 -7.9828590e-01 -3.3479854e-01  2.6191308e+00  2.3002725e+00]",0,복수할 거야 불러 올 거야 모든 걸 말할 거야 
./voice_data/M-A3-C-001-0105.wav,M,Angry,0105,"[-8.6667758e-05 -1.3490638e-04 -1.1120766e-04 ...  1.8364441e-04
  1.1342821e-04  1.3089002e-04]","[-2.5254028e+02  8.2877716e+01 -1.7478388e+01  2.4008684e+01
 -9.1860981e+00 -1.1333144e+01  7.2359400e+00  2.8726408e+00
 -2.3260719e+01 -1.8025194e+00 -1.3299110e+00 -4.3444896e+00
 -1.7788227e+00  8.8728851e-01 -2.1708846e+00 -1.2696177e+00
 -8.1013308e+00 -5.5557537e-01 -8.5359573e+00  6.3724160e-01
 -5.1332154e+00 -2.4073787e-01 -3.7157037e+00 -4.5234036e+00
 -1.1048249e+00 -2.5901737e+00 -5.8394389e+00  1.1188443e+00
 -2.0788283e+00  1.8325758e+00  2.9986837e+00  3.1778963e+00
  2.6161730e+00  1.0726990e+00  6.8011814e-01  7.1799886e-01
  3.5170307e+00  3.8411236e+00  5.0729036e+00  4.3462095e+00]",0,비처럼 심판의 반석 되어야겠다 
./voice_data/M-A3-C-001-0106.wav,M,Angry,0106,"[-0.00021573 -0.00030062 -0.00027961 ... -0.00012746 -0.00011159
 -0.00015366]","[-2.5833740e+02  7.8434021e+01 -2.3912189e+01  3.3525490e+01
 -3.1867259e+00 -1.6182102e+01  3.6412072e+00  2.5022545e+00
 -2.7315306e+01 -1.5681911e+00 -1.6244050e+00 -1.0293299e+01
 -3.0029112e-01  2.1373307e-02 -9.7690306e+00 -1.6670235e+00
 -4.4511414e+00 -5.0497174e+00 -8.8435659e+00 -9.8134905e-02
 -8.4567556e+00  1.6685455e+00 -5.3330722e+00 -4.9590173e+00
 -1.6751958e+00 -3.5257330e+00 -6.0884104e+00  6.3007690e-02
 -7.4095931e+00 -8.0483079e-01 -3.5325515e+00 -6.0409361e-01
  1.1556792e+00  1.8338927e+00 -1.2359902e-01  1.2001537e+00
  4.7736868e-01  1.2496816e+00  3.4146581e+00  3.7001667e+00]",0,잘 죽었다 
./voice_data/M-A3-C-001-0107.wav,M,Angry,0107,"[-4.2574560e-05 -6.1849474e-05 -5.5154891e-05 ... -1.5910624e-06
  1.2266718e-06 -9.0695710e-07]","[-2.2974367e+02  8.7585999e+01 -1.4430153e+01  2.5199879e+01
  9.5199680e-01 -6.9530497e+00 -9.0434086e-01  4.9765425e+00
 -2.7932018e+01 -8.2750769e+00 -5.0780382e+00 -8.2041092e+00
 -3.2419503e+00 -6.6429038e+00 -7.3937082e+00 -4.2892694e-01
 -9.6843615e+00 -2.0578723e+00 -7.7543306e+00  2.6977975e+00
 -8.6456642e+00 -2.5341578e+00 -4.8041887e+00 -5.7247782e+00
 -5.1994267e+00 -2.6215987e+00 -8.2710285e+00 -2.2703521e+00
 -2.7667644e+00 -1.5915182e+00 -2.7761886e+00 -1.8171015e+00
  5.8279634e-02  7.5702500e-01  2.2468643e+00  6.3821750e+00
  5.6084375e+00  5.7496557e+00  6.4966679e+00  4.9304380e+00]",0,장사를 하려 들지를 않는군 
./voice_data/M-A3-C-001-0108.wav,M,Angry,0108,"[2.6296386e-05 1.0334533e-04 1.2762973e-04 ... 2.1068311e-04 1.9584372e-04
 2.5824836e-04]","[-3.0459412e+02  5.1247089e+01 -6.7378488e+00  2.4876728e+01
 -5.5285974e+00 -4.2261152e+00  7.2516384e+00  1.4601163e+00
 -2.0389477e+01 -1.1213311e-02 -7.8026217e-01 -3.0269960e-01
  1.2687213e+00 -6.7420840e-01 -4.0484838e+00 -2.7914602e-01
 -4.6171050e+00 -6.6187036e-01 -6.0389333e+00  1.4645193e+00
 -3.0352197e+00  8.7512255e-01 -2.9625340e+00 -3.1516337e+00
 -3.4172070e+00 -3.2067044e+00 -5.2765937e+00  2.8255174e-01
 -4.8620567e+00 -2.2007042e-01 -3.4978302e+00 -1.6222849e+00
 -4.9305663e-02 -1.0926355e+00 -1.4716126e+00  3.4960341e-01
 -3.0582058e-01  1.8086216e-01  4.7577828e-01 -5.5300647e-01]",0,
./voice_data/M-A3-C-001-0109.wav,M,Angry,0109,"[-2.5845767e-07  2.0412697e-05  2.0160422e-05 ...  3.9436349e-05
  4.2039355e-05  3.1875912e-05]","[-3.0399323e+02  4.3502872e+01 -7.5599246e+00  3.4975990e+01
  4.4923172e+00 -1.4821659e+00  5.4737425e+00  3.7650111e+00
 -1.6431742e+01 -1.1798573e+00 -6.5223236e+00 -4.5928650e+00
  1.1684427e-02 -2.1658194e+00 -4.5525289e+00  1.6424793e+00
 -2.7458951e+00 -2.1530497e+00 -6.8348060e+00  1.6259807e+00
 -6.0280204e+00  1.1222030e+00 -5.2917123e+00 -4.2534280e+00
 -1.4461433e+00 -2.6203625e+00 -4.6911979e+00  1.6003488e+00
 -1.1408511e+00  8.4000748e-01  1.2685978e-02 -6.5869069e-01
 -1.0822376e+00  7.3093992e-01  1.8711780e-01  2.7535410e+00
  2.2397294e+00 -7.8929804e-02  1.4167459e+00  1.4844019e+00]",0,응 같은 년 
./voice_data/M-A3-C-001-0110.wav,M,Angry,0110,"[-1.13892916e-07 -2.13442036e-07  1.19941967e-06 ... -2.67634859e-05
 -7.23194171e-05 -9.43601844e-05]","[-2.5583746e+02  7.6664551e+01 -1.4429427e+01  2.3896597e+01
 -8.9476557e+00 -1.5095723e+01  7.4612598e+00  2.8963368e+00
 -2.6761250e+01 -5.2589417e-01 -4.5999832e+00 -5.5856752e+00
 -4.8459411e-01 -2.4991488e+00 -5.6812267e+00 -7.1287715e-01
 -5.8899884e+00 -3.6151748e+00 -4.2644281e+00  3.1619711e+00
 -8.0133924e+00 -4.5672381e-01 -3.7532952e+00 -5.3742437e+00
 -2.7120411e+00 -3.8597810e+00 -8.2470856e+00  1.2392577e+00
 -3.6739402e+00  1.2009413e+00  6.6126651e-01  2.9772396e+00
  2.6346438e+00  7.0801842e-01 -2.1977326e-01  8.0440658e-01
  1.8343567e+00  1.4868745e+00  2.8755295e+00  2.7853370e+00]",0,저것들을 싹 정리해 버릴 거야 
